City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Carnduff,CA,69.39,clear sky,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
468,Brae,GB,53.51,overcast clouds,60.3964,-1.353,Busta House Hotel
470,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
476,Kjollefjord,NO,50.13,overcast clouds,70.9457,27.3465,Hotel Nordkyn
477,Lanzhou,CN,63.68,overcast clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
479,Batemans Bay,AU,61.92,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
483,Victor Harbor,AU,60.8,overcast clouds,-35.5667,138.6167,McCracken Country Club
486,Imbituba,BR,69.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
489,Amsterdam,NL,62.89,broken clouds,52.374,4.8897,INK Hotel Amsterdam - MGallery
490,Don Benito,ES,67.91,overcast clouds,38.9563,-5.8616,Hotel Vegas Altas | Don Benito
494,Harboore,DK,56.21,overcast clouds,56.6175,8.1807,Harboøre Hotel
498,Konibodom,TJ,51.57,overcast clouds,40.2843,70.4426,"Hotel ""Orom"""
501,Caohai,CN,57.42,broken clouds,26.8661,104.2841,Jinhua Hotel
510,Eureka,US,67.19,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
511,Arenillas,ES,61.0,overcast clouds,41.3471,-2.8462,Casa del Curato
515,Moosburg,DE,58.12,clear sky,48.4667,11.9333,Moosburger Hof
518,Asosa,ET,61.43,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
521,Jumla,NP,53.92,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
523,Nantucket,US,66.99,scattered clouds,41.2835,-70.0995,Jared Coffin House
528,Rassvet,RU,53.65,overcast clouds,46.8333,40.75,Gostinitsa
529,Burnie,AU,54.91,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
531,Ahipara,NZ,62.31,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
534,Rolandia,BR,64.31,light rain,-23.3097,-51.3692,Pousada Marabú
537,Mwinilunga,ZM,64.98,light rain,-11.7358,24.4293,Kwakuwahi Lodge
538,Casablanca,MA,69.33,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
543,Birjand,IR,55.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
544,Pirgos,GR,68.63,scattered clouds,35.1167,25.7178,Daios Cove
546,Eldoret,KE,56.62,light rain,0.5204,35.2699,Flora Homes
550,Wakuya,JP,64.36,clear sky,38.5333,141.1333,ホテルふたりの夢を叶えましょう
552,Bronnoysund,NO,55.4,broken clouds,65.4625,12.1997,Corner Hotel
553,Rusape,ZW,64.65,clear sky,-18.5278,32.1284,Surrey Lodge
554,Challapata,BO,61.02,clear sky,-18.9,-66.7667,HOSTAL MARIAN
560,Antequera,ES,68.18,broken clouds,37.0194,-4.5612,Hotel MM Antequera (anterior Hotel Las Villas)
569,La Ronge,CA,61.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
570,Vila,PT,58.08,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
571,Shuangcheng,CN,55.08,overcast clouds,45.35,126.2833,Xingcheng Hotel
580,Zhangjiakou,CN,57.94,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
586,Mantua,IT,67.15,broken clouds,45.1667,10.7833,Hotel la Favorita
590,Konya,TR,53.08,clear sky,38.1667,32.5,Bahcesaray Koyu Muhtarligi
604,Alta Floresta,BR,69.22,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
611,Bayir,TR,55.92,clear sky,37.2687,28.2167,Hotel Babadag
615,Luancheng,CN,68.16,moderate rain,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
626,Rio Tercero,AR,52.48,broken clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
630,Palestine,PS,63.82,scattered clouds,31.9216,35.2033,Grand Park Hotel
633,Seddon,AU,63.72,scattered clouds,-37.8068,144.8916,Footscray Motor Inn
639,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
640,Skoghall,SE,52.36,broken clouds,59.3232,13.4655,Mörudden Camping & Stugby
643,Yulara,AU,60.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
649,Kallithea,GR,65.5,clear sky,37.95,23.7,Athens Marriott Hotel
651,Sicuani,PE,60.85,overcast clouds,-14.2694,-71.2261,Wilkamayu Hotel
656,Lianran,CN,63.14,clear sky,24.9227,102.485,半岛酒店
667,Halifax,CA,57.69,broken clouds,44.6453,-63.5724,Hotel Halifax
668,Carahue,CL,52.0,broken clouds,-38.7,-73.1667,Hospedaje Familiar
680,Namchi,IN,64.69,moderate rain,27.1667,88.35,Sumnima Homestay
